Name,Attacking,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Skill,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control
Lionel Messi,429,85,95,70,91,88,470,96,93,94,91,96
C. Ronaldo dos Santos Aveiro,437,84,95,90,82,86,414,88,81,76,77,92
Jan Oblak,95,13,11,15,43,13,109,12,13,14,40,30
Kevin De Bruyne,407,94,82,55,94,82,441,88,85,83,93,92
Neymar da Silva Santos Jr.,408,85,87,62,87,87,448,95,88,89,81,95
Robert Lewandowski,423,71,94,85,84,89,407,85,79,85,70,88
Mohamed Salah,392,79,91,59,84,79,406,90,83,69,75,89
Alisson Ramses Becker,114,17,13,19,45,20,138,27,19,18,44,30
Kylian Mbappé,408,78,91,73,83,83,394,92,79,63,70,90
Marc-André ter Stegen,118,18,14,11,61,14,144,21,18,12,63,30
Virgil van Dijk,316,53,52,87,79,45,363,70,60,70,86,77
Sadio Mané,410,76,90,84,85,75,391,91,76,64,71,89
Carlos Henrique Venancio Casimiro,349,58,64,80,84,63,369,69,63,74,84,79
Thibaut Courtois,86,14,14,13,33,12,110,13,19,20,35,23
Manuel Neuer,119,15,13,25,55,11,160,30,14,11,59,46
Karim Benzema,426,75,88,91,86,86,404,87,81,73,73,90
Sergio Ramos García,374,66,65,92,82,69,381,65,74,76,83,83
Sergio Agüero,411,70,94,78,83,86,397,88,83,73,64,89
Raheem Sterling,360,78,85,46,84,67,387,90,77,63,69,88
N'Golo Kanté,328,68,65,54,85,56,336,79,49,49,79,80
Joshua Kimmich,383,91,66,72,87,67,400,83,85,61,86,85
Paulo Dybala,405,82,84,64,87,88,436,91,88,88,75,94
Ederson Santana de Moraes,123,20,14,14,57,18,157,23,15,20,59,40
Harry Kane,420,75,94,85,81,85,395,80,80,68,83,84
Samir Handanovič,86,12,10,10,42,12,100,18,12,14,40,16
Kalidou Koulibaly,224,30,22,84,74,14,262,69,28,28,63,74
Eden Hazard,388,77,82,61,85,83,427,93,83,79,81,91
Toni Kroos,397,88,76,58,93,82,432,80,86,84,93,89
Antoine Griezmann,425,83,88,83,84,87,429,87,86,85,82,89
Jadon Sancho,373,83,81,38,88,83,380,92,81,48,68,91
Trent Alexander-Arnold,365,93,56,69,85,62,426,77,88,85,89,87
Bernardo Mota Carvalho e Silva,371,85,79,51,86,70,411,92,84,67,76,92
Andrew Robertson,328,90,57,67,82,32,358,80,82,38,76,82
Aymeric Laporte,311,58,45,86,82,40,351,63,61,69,80,78
